uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade
GO,52004,Entorno Sul,2020,08,997
GO,52014,Serra da Mesa,2020,08,123
GO,52005,Estrada de Ferro,2020,08,308
GO,52001,Central,2020,08,2009
GO,52007,Nordeste II,2020,08,106
GO,52006,Nordeste I,2020,08,44
GO,52013,São Patrício I,2020,08,144
GO,52017,Sul,2020,08,274
GO,52018,São Patrício II,2020,08,178
GO,52010,Oeste II,2020,08,126
GO,52015,Sudoeste I,2020,08,481
GO,52008,Norte,2020,08,130
GO,52002,Centro Sul,2020,08,982
GO,52012,Rio Vermelho,2020,08,188
GO,52016,Sudoeste II,2020,08,276
GO,52015,Sudoeste I,2020,07,551
GO,52009,Oeste I,2020,07,118
GO,52002,Centro Sul,2020,07,1060
GO,52003,Entorno Norte,2020,07,309
GO,52005,Estrada de Ferro,2020,07,351
GO,52018,São Patrício II,2020,07,209
GO,52006,Nordeste I,2020,07,48
GO,52008,Norte,2020,07,169
GO,52013,São Patrício I,2020,07,174
GO,52004,Entorno Sul,2020,07,998
GO,52011,Pirineus,2020,07,597
GO,52010,Oeste II,2020,07,140
GO,52017,Sul,2020,07,253
GO,52001,Central,2020,07,2118
GO,52012,Rio Vermelho,2020,07,207
GO,52014,Serra da Mesa,2020,07,125
GO,52007,Nordeste II,2020,07,122
GO,52016,Sudoeste II,2020,07,284
GO,52006,Nordeste I,2020,06,58
GO,52001,Central,2020,06,2036
GO,52008,Norte,2020,06,135
GO,52010,Oeste II,2020,06,109
GO,52004,Entorno Sul,2020,06,1094
GO,52015,Sudoeste I,2020,06,503
GO,52002,Centro Sul,2020,06,1085
GO,52012,Rio Vermelho,2020,06,195
GO,52009,Oeste I,2020,06,102
GO,52003,Entorno Norte,2020,06,317
GO,52011,Pirineus,2020,06,610
GO,52018,São Patrício II,2020,06,172
GO,52017,Sul,2020,06,257
GO,52007,Nordeste II,2020,06,110
GO,52005,Estrada de Ferro,2020,06,319
GO,52014,Serra da Mesa,2020,06,132
GO,52013,São Patrício I,2020,06,170
GO,52016,Sudoeste II,2020,06,256
GO,52004,Entorno Sul,2020,05,1137
GO,52014,Serra da Mesa,2020,05,114
GO,52003,Entorno Norte,2020,05,341
GO,52005,Estrada de Ferro,2020,05,356
GO,52015,Sudoeste I,2020,05,498
GO,52007,Nordeste II,2020,05,96
GO,52016,Sudoeste II,2020,05,288
GO,52008,Norte,2020,05,148
GO,52009,Oeste I,2020,05,120
GO,52001,Central,2020,05,2231
GO,52002,Centro Sul,2020,05,1121
GO,52011,Pirineus,2020,05,648
GO,52006,Nordeste I,2020,05,48
GO,52013,São Patrício I,2020,05,171
GO,52012,Rio Vermelho,2020,05,234
GO,52017,Sul,2020,05,287
GO,52018,São Patrício II,2020,05,205
GO,52010,Oeste II,2020,05,134
GO,52003,Entorno Norte,2020,04,362
GO,52018,São Patrício II,2020,04,201
GO,52013,São Patrício I,2020,04,197
GO,52010,Oeste II,2020,04,135
GO,52001,Central,2020,04,2322
GO,52014,Serra da Mesa,2020,04,122
GO,52017,Sul,2020,04,294
GO,52008,Norte,2020,04,142
GO,52015,Sudoeste I,2020,04,521
GO,52004,Entorno Sul,2020,04,1102
GO,52002,Centro Sul,2020,04,1138
GO,52009,Oeste I,2020,04,121
GO,52016,Sudoeste II,2020,04,277
GO,52007,Nordeste II,2020,04,144
GO,52012,Rio Vermelho,2020,04,239
GO,52005,Estrada de Ferro,2020,04,348
GO,52011,Pirineus,2020,04,636
GO,52006,Nordeste I,2020,04,65
GO,52016,Sudoeste II,2020,03,283
GO,52001,Central,2020,03,2324
GO,52002,Centro Sul,2020,03,1168
GO,52012,Rio Vermelho,2020,03,234
GO,52005,Estrada de Ferro,2020,03,334
GO,52013,São Patrício I,2020,03,177
GO,52003,Entorno Norte,2020,03,340
GO,52018,São Patrício II,2020,03,209
GO,52014,Serra da Mesa,2020,03,136
GO,52017,Sul,2020,03,300
GO,52011,Pirineus,2020,03,644
GO,52007,Nordeste II,2020,03,133
GO,52008,Norte,2020,03,163
GO,52009,Oeste I,2020,03,132
GO,52010,Oeste II,2020,03,132
GO,52015,Sudoeste I,2020,03,601
GO,52004,Entorno Sul,2020,03,1191
GO,52006,Nordeste I,2020,03,52
GO,52016,Sudoeste II,2020,02,272
GO,52018,São Patrício II,2020,02,174
GO,52015,Sudoeste I,2020,02,466
GO,52004,Entorno Sul,2020,02,1022
GO,52005,Estrada de Ferro,2020,02,308
GO,52002,Centro Sul,2020,02,1056
GO,52006,Nordeste I,2020,02,42
GO,52014,Serra da Mesa,2020,02,110
GO,52007,Nordeste II,2020,02,105
GO,52009,Oeste I,2020,02,105
GO,52012,Rio Vermelho,2020,02,169
GO,52010,Oeste II,2020,02,120
GO,52013,São Patrício I,2020,02,152
GO,52017,Sul,2020,02,275
GO,52003,Entorno Norte,2020,02,299
GO,52001,Central,2020,02,2002
GO,52011,Pirineus,2020,02,610
GO,52008,Norte,2020,02,105
GO,52015,Sudoeste I,2020,01,526
GO,52010,Oeste II,2020,01,154
GO,52013,São Patrício I,2020,01,175
GO,52008,Norte,2020,01,122
GO,52018,São Patrício II,2020,01,187
GO,52012,Rio Vermelho,2020,01,178
GO,52001,Central,2020,01,2126
GO,52016,Sudoeste II,2020,01,274
GO,52005,Estrada de Ferro,2020,01,340
GO,52007,Nordeste II,2020,01,108
GO,52003,Entorno Norte,2020,01,312
GO,52004,Entorno Sul,2020,01,1139
GO,52009,Oeste I,2020,01,99
GO,52014,Serra da Mesa,2020,01,128
GO,52011,Pirineus,2020,01,616
GO,52017,Sul,2020,01,264
GO,52002,Centro Sul,2020,01,1035
GO,52006,Nordeste I,2020,01,51
GO,52017,Sul,2019,12,241
GO,52014,Serra da Mesa,2019,12,128
GO,52012,Rio Vermelho,2019,12,193
GO,52003,Entorno Norte,2019,12,323
GO,52011,Pirineus,2019,12,585
GO,52016,Sudoeste II,2019,12,297
GO,52006,Nordeste I,2019,12,55
GO,52001,Central,2019,12,2054
GO,52018,São Patrício II,2019,12,203
GO,52010,Oeste II,2019,12,106
GO,52013,São Patrício I,2019,12,174
GO,52004,Entorno Sul,2019,12,1077
GO,52007,Nordeste II,2019,12,104
GO,52008,Norte,2019,12,145
GO,52002,Centro Sul,2019,12,927
GO,52009,Oeste I,2019,12,107
GO,52005,Estrada de Ferro,2019,12,304
GO,52015,Sudoeste I,2019,12,498
GO,52013,São Patrício I,2019,11,161
GO,52016,Sudoeste II,2019,11,232
GO,52002,Centro Sul,2019,11,1020
GO,52018,São Patrício II,2019,11,166
GO,52010,Oeste II,2019,11,105
GO,52001,Central,2019,11,1978
GO,52008,Norte,2019,11,112
GO,52003,Entorno Norte,2019,11,286
GO,52014,Serra da Mesa,2019,11,112
GO,52017,Sul,2019,11,265
GO,52012,Rio Vermelho,2019,11,188
GO,52005,Estrada de Ferro,2019,11,312
GO,52004,Entorno Sul,2019,11,1007
GO,52011,Pirineus,2019,11,599
GO,52006,Nordeste I,2019,11,49
GO,52007,Nordeste II,2019,11,102
GO,52015,Sudoeste I,2019,11,453
GO,52009,Oeste I,2019,11,104
GO,52012,Rio Vermelho,2019,10,167
GO,52016,Sudoeste II,2019,10,272
GO,52001,Central,2019,10,2219
GO,52007,Nordeste II,2019,10,129
GO,52003,Entorno Norte,2019,10,311
GO,52014,Serra da Mesa,2019,10,108
GO,52006,Nordeste I,2019,10,49
GO,52005,Estrada de Ferro,2019,10,322
GO,52017,Sul,2019,10,264
GO,52004,Entorno Sul,2019,10,1017
GO,52013,São Patrício I,2019,10,168
GO,52008,Norte,2019,10,148
GO,52015,Sudoeste I,2019,10,477
GO,52010,Oeste II,2019,10,94
GO,52009,Oeste I,2019,10,107
GO,52002,Centro Sul,2019,10,1058
GO,52011,Pirineus,2019,10,597
